Publication Number,Kind Code,Title,Assignee,Innography URL,First IP Classification,First CP Classification,First US Classification,Application Publication Date,Grant Date,Publish Date,Priority Date,Filed Date,Est. Expiration Date,Earliest Published Date - Simple Family,Earliest Published Date - Extended Family,Inventors
US11614893,B2,"Optimizing storage device access based on latency","Pure Storage, Inc.",https://patentscout.innography.com/share/eL_RlwY62XhZWL5BcJHikg%3D%3D,G06F00306000,G06F0003065900,711004000,2021-06-10,2023-03-28,2023-03-28,2010-09-15,2021-01-27,2031-10-15,2021-06-10,2012-03-15,"Kannan, Hari|Feigin, Boris|Gao, Ying|Colgrove, John"
US20230117685,A1,"Zone namespace","Pure Storage, Inc.",https://patentscout.innography.com/share/MXy2XozwBSsprJufKvV1cQ%3D%3D,G06F00306000,G06F0003061900,711004000,2023-04-20,2023-12-12,2023-04-20,2016-12-19,2022-12-19,2023-12-12,2021-10-21,2018-06-21,"Karr, Ronald"
US11842053,B2,"Zone namespace","Pure Storage, Inc.",https://patentscout.innography.com/share/VCpXu4NRYvlxsvLWQ4pHnQ%3D%3D,G06F01200000,G06F0003061900,710244000,2023-04-20,2023-12-12,2023-12-12,2016-12-19,2022-12-19,2037-07-31,2021-10-21,2018-06-21,"Karr, Ronald"
US20210173588,A1,"Optimizing storage device access based on latency","Pure Storage, Inc.",https://patentscout.innography.com/share/FhxDsx9BHOf_tjb7R_95YQ%3D%3D,G06F00306000,G06F0003065900,711004000,2021-06-10,2023-03-28,2021-06-10,2010-09-15,2021-01-27,2023-03-28,2021-06-10,2012-03-15,"Kannan, Hari|Feigin, Boris|Gao, Ying|Colgrove, John"
US20210326048,A1,"Efficiently writing data in a zoned drive storage system","Pure Storage, Inc.",https://patentscout.innography.com/share/Gfz1lWK-JKzFd5-Csb0DYA%3D%3D,G06F00306000,G06F0003061900,711004000,2021-10-21,2023-01-10,2021-10-21,2016-12-19,2021-06-24,2023-01-10,2021-10-21,2018-06-21,"Karr, Ronald"
US11550481,B2,"Efficiently writing data in a zoned drive storage system","Pure Storage, Inc.",https://patentscout.innography.com/share/L3yGMbp67SBLFr984fNlQA%3D%3D,G06F01200000,G06F0003061900,710244000,2021-10-21,2023-01-10,2023-01-10,2016-12-19,2021-06-24,2037-08-16,2021-10-21,2018-06-21,"Karr, Ronald"
US20210286517,A1,"Utilizing allocation shares to improve parallelism in a zoned drive storage system","Pure Storage, Inc.",https://patentscout.innography.com/share/TBI_LcIDaoA5eajpjYnB4Q%3D%3D,G06F00306000,G06F0003061000,711004000,2021-09-16,2024-07-16,2021-09-16,2016-10-04,2021-06-02,2024-07-16,2021-09-16,2017-05-04,"Karr, Ronald|Brennan, Timothy W."
US12056365,B2,"Resiliency for a storage system","Pure Storage, Inc.",https://patentscout.innography.com/share/B7eyDQ55NkcOq42hxmYirQ%3D%3D,G06F01200000,G06F0003061400,710244000,2022-11-10,2024-08-06,2024-08-06,2020-04-24,2022-07-18,2040-10-07,2022-11-10,2021-10-28,"Kannan, Hari|Karr, Ronald"
US11487455,B2,"Dynamic block allocation to optimize storage system performance","Pure Storage, Inc.",https://patentscout.innography.com/share/MXgx3H3K9VoshTaekxoYZw%3D%3D,G06F00300000,G06F0003068800,708134000,2022-06-23,2022-11-01,2022-11-01,2020-12-17,2020-12-17,2040-12-17,2022-06-23,2022-06-23,"Kannan, Hari|Coleman, Gordon James|Zhao, Yijie|Kirkpatrick, Peter E.|Lee, Robert|Mao, Yuhong|Feigin, Boris"
US20220357857,A1,"Resiliency scheme to enhance storage performance","Pure Storage, Inc.",https://patentscout.innography.com/share/6Y8gHKQXxBL2Lfg1ASHVLQ%3D%3D,G06F00306000,G06F0003061400,711004000,2022-11-10,2024-08-06,2022-11-10,2020-04-24,2022-07-18,2024-08-06,2022-11-10,2021-10-28,"Kannan, Hari|Karr, Ronald"
US12236110,B2,"Storage system with parallel writes","Pure Storage, Inc.",https://patentscout.innography.com/share/kGj0pozaqPMgZ6Nly97GQQ%3D%3D,G06F01200000,G06F0003061900,710244000,2024-05-16,2025-02-25,2025-02-25,2016-12-19,2023-11-29,2037-07-31,2021-10-21,2018-06-21,"Karr, Ronald"
US12039165,B2,"Utilizing allocation shares to improve parallelism in a zoned drive storage system","Pure Storage, Inc.",https://patentscout.innography.com/share/uUpVlT4UEURnfNw-o9zKsg%3D%3D,G06F00306000,G06F0003061000,711004000,2021-09-16,2024-07-16,2024-07-16,2016-10-04,2021-06-02,2037-01-30,2021-09-16,2017-05-04,"Karr, Ronald|Brennan, Timothy W."
US20220197505,A1,"Dynamic block allocation to optimize storage system performance","Pure Storage, Inc.",https://patentscout.innography.com/share/9BizmJXr0RIO9ownb0FOVQ%3D%3D,G06F00306000,G06F0003068800,711004000,2022-06-23,2022-11-01,2022-06-23,2020-12-17,2020-12-17,2022-11-01,2022-06-23,2022-06-23,"Kannan, Hari|Coleman, Gordon James|Zhao, Yijie|Kirkpatrick, Peter E.|Lee, Robert|Mao, Yuhong|Feigin, Boris"
US20240160361,A1,"Storage system with parallel writes","Pure Storage, Inc.",https://patentscout.innography.com/share/8YmONoAfqNKvJnhaLDiMGw%3D%3D,G06F00306000,G06F0003061900,711004000,2024-05-16,2025-02-25,2024-05-16,2016-12-19,2023-11-29,2025-02-25,2021-10-21,2018-06-21,"Karr, Ronald"
US20220350495,A1,"Differing erasure coding schemes with non-uniform storage sizes","Pure Storage, Inc.",https://patentscout.innography.com/share/WzL8mfnqa4CSM2wEXGTiTw%3D%3D,G06F00306000,G06F0003061700,711004000,2022-11-03,,2022-11-03,2014-06-04,2022-06-29,2034-12-13,2022-11-03,2015-12-10,"Lee, Robert|Karr, Ronald"
US20220365875,A1,"Efficient data storage by grouping similar data within a zone","Pure Storage, Inc.",https://patentscout.innography.com/share/rhpJbeqzUCIet6zFJfr65w%3D%3D,G06F01202000,G06F0012025300,345543000,2022-11-17,,2022-11-17,2019-10-15,2022-07-29,2039-10-15,2022-11-17,2021-04-15,"Mao, Yuhong|Karr, Ronald"
US12282686,B2,"Performing low latency operations using a distinct set of resources","Pure Storage, Inc.",https://patentscout.innography.com/share/VUlUKrZScMJyLodUyOLK5w%3D%3D,G06F00306000,G06F0003065900,711004000,2023-08-10,2025-04-22,2025-04-22,2010-09-15,2023-03-27,2030-09-15,2021-06-10,2012-03-15,"Kannan, Hari|Feigin, Boris|Gao, Ying|Colgrove, John"
US20230393742,A1,"Latency reduction of flash-based devices using programming interrupts","Pure Storage, Inc.",https://patentscout.innography.com/share/m0YnldjGdTSMZbY7C3SHdw%3D%3D,G06F00306000,G06F0003061000,711004000,2023-12-07,,2023-12-07,2022-06-06,2023-06-05,2043-06-05,2023-12-07,2012-03-15,"Karr, Ronald|Kannan, Hari|Lee, Robert|Kirkpatrick, Peter E."
KR20250019122,A,"Reducing latency in flash-based devices using programming interrupts","Pure Storage, Inc.",https://patentscout.innography.com/share/yAyXUSlPjXUPou_V3w21pQ%3D%3D,G06F01202000,G06F0012024600,345543000,2025-02-07,,2025-02-07,2022-06-06,2023-06-06,2043-06-06,2023-12-14,2012-03-15,"Car, Ronald|Kannan, Hari|Lee, Robert|Kirkpatrick, Peter E"
US11960371,B2,"Message persistence in a zoned system","Pure Storage, Inc.",https://patentscout.innography.com/share/8tolYw2Xm_eOBMHgk_ekFQ%3D%3D,G06F01120000,G06F0003068800,340002800,2022-01-20,2024-04-16,2024-04-16,2014-06-04,2021-09-30,2034-11-12,2022-01-20,2015-04-07,"Lee, Robert|Karr, Ronald"
US20220405200,A1,"Compressed data management in zones","Pure Storage, Inc.",https://patentscout.innography.com/share/Va268NLAJhMbHASMOj58iA%3D%3D,G06F01202000,G06F0012026100,345543000,2022-12-22,,2022-12-22,2015-01-08,2022-08-24,2025-02-04,2022-12-22,2017-02-14,"Karr, Ronald"
US11797212,B2,"Data migration for zoned drives","Pure Storage, Inc.",https://patentscout.innography.com/share/a6i9SHmwDS_LXSCcCBJLGA%3D%3D,G06F01202000,G06F0003068800,711004000,2022-08-18,2023-10-24,2023-10-24,2016-07-26,2022-04-26,2036-10-31,2022-08-18,2017-05-04,"Vohra, Taher|Karr, Ronald"
US20220027064,A1,"Two or more logical arrays having zoned drives","Pure Storage, Inc.",https://patentscout.innography.com/share/dXC-bCrjNjubUljGBqLIOg%3D%3D,G06F00306000,G06F0003061900,711004000,2022-01-27,,2022-01-27,2015-04-10,2021-10-08,2035-04-10,2022-01-27,2016-10-13,"Botes, Par Anders|Karr, Ronald"
US20230251797,A1,"Performing low latency operations using a distinct set of resources","Pure Storage, Inc.",https://patentscout.innography.com/share/oOpaAMDDqa3JqYT79ovjBw%3D%3D,G06F00306000,G06F0003065900,711004000,2023-08-10,2025-04-22,2023-08-10,2010-09-15,2023-03-27,2025-04-22,2021-06-10,2012-03-15,"Kannan, Hari|Feigin, Boris|Gao, Ying|Colgrove, John"
US20220019505,A1,"Message persistence in a zoned system","Pure Storage, Inc.",https://patentscout.innography.com/share/DPbDWHTAO0ohjxYeCOcEKQ%3D%3D,G06F01120000,G06F0003068800,340002800,2022-01-20,2024-04-16,2022-01-20,2014-06-04,2021-09-30,2024-04-16,2022-01-20,2015-04-07,"Lee, Robert|Karr, Ronald"
US20220261170,A1,"Data migration for zoned drives","Pure Storage, Inc.",https://patentscout.innography.com/share/SqYSVqyxQRtJcaa8n5mpjQ%3D%3D,G06F00306000,G06F0003068800,711004000,2022-08-18,2023-10-24,2022-08-18,2016-07-26,2022-04-26,2023-10-24,2022-08-18,2017-05-04,"Vohra, Taher|Karr, Ronald"
